region,reg_id,city,state,city_id,start,finish,posted,filled,Notes,post_id,,
Southeast,SE,Miami,FL,MIA,11/13/16,11/18/16,9/5/16,,,MIA4268742692NFHB,,
Southeast,SE,Miami,FL,MIA,11/20/16,11/23/16,9/5/16,,,MIA4269442697DHCU,,
Southeast,SE,Miami,FL,MIA,12/12/16,12/19/16,9/5/16,,,MIA4271642723EHAX,, 
Southeast,SE,Miami,FL,MIA,3/12/17,3/17/17,9/5/16,,,MIA4280642811JYQN,,
Southeast,SE,Miami,FL,MIA,4/3/17,4/8/17,9/5/16,,,MIA4282842833HZGV,,
Southwest,SW,Dallas,TX,DAL,10/2/16,10/5/16,9/5/16,,,DAL4264542648NAHB,,
Southwest,SW,Dallas,TX,DAL,10/9/16,10/14/16,9/5/16,,,DAL4265242657IUFI,,
Southwest,SW,Dallas,TX,DAL,10/30/16,11/4/16,9/5/16,,,DAL4267342678ITVG,,
Southwest,SW,Dallas,TX,DAL,11/6/16,11/11/16,9/5/16,,*,DAL4268042685OIEO,,
Southwest,SW,Dallas,TX,DAL,11/13/16,11/17/16,9/5/16,,,DAL4268742691CROK,,
Southwest,SW,Dallas,TX,DAL,11/27/16,11/30/16,9/5/16,,,DAL4270142704QUNS,,
Southwest,SW,Dallas,TX,DAL,12/4/16,12/8/16,9/5/16,,,DAL4270842712PSVA,,
Southwest,SW,Dallas,TX,DAL,12/11/16,12/16/16,9/5/16,,,DAL4271542720KVNS,,
Southwest,SW,Dallas,TX,DAL,12/18/16,12/23/16,9/5/16,,,DAL4272242727EZEN,,
Southwest,SW,Dallas,TX,DAL,5/21/17,5/25/17,9/5/16,,,DAL4287642880CYKD,,
Southwest,SW,Dallas,TX,DAL,6/25/17,6/29/17,9/5/16,,,DAL4291142915SDZI,,
Southwest,SW,Dallas,TX,DAL,9/10/17,9/15/17,9/5/16,,,DAL4298842993RUTI,,
Southwest,SW,Dallas,TX,DAL,9/17/17,9/21/17,9/5/16,,,DAL4299542999AUTT,,
West,WC,Reno,NV,REN,11/6/16,11/9/16,9/5/16,,,REN4268042683RLXS,,
West,WC,Reno,NV,REN,11/20/16,11/23/16,9/5/16,,,REN4269442697OABM,,
West,WC,Reno,NV,REN,12/5/16,12/8/16,9/5/16,,,REN4270942712YDTF,,
West,WC,Reno,NV,REN,12/12/16,12/15/16,9/5/16,,,REN4271642719VHDG,,
West,WC,Reno,NV,REN,1/3/17,1/6/17,9/5/16,,,REN4273842741WHLU,,
West,WC,Reno,NV,REN,4/9/17,4/12/17,9/5/16,,,REN4283442837BEUO,,
West,WC,Reno,NV,REN,4/30/17,5/2/17,9/5/16,,,REN4285542857LBLI,,
West,WC,Reno,NV,REN,5/14/17,5/17/17,9/5/16,,,REN4286942872TLAI,,
West,WC,Reno,NV,REN,5/22/17,5/25/17,9/5/16,,,REN4287742880IDUB,,
West,WC,Reno,NV,REN,5/28/17,6/2/17,9/5/16,,*,REN4288342888IWGB,,
West,WC,Reno,NV,REN,6/4/17,6/8/17,9/5/16,,,REN4289042894YVNK,,
West,WC,Reno,NV,REN,6/25/17,6/30/17,9/5/16,,,REN4291142916LXRL,,
West,WC,Reno,NV,REN,7/2/17,7/5/17,9/5/16,,*,REN4291842921PPJE,,
West,WC,Reno,NV,REN,7/16/17,7/19/17,9/5/16,,,REN4293242935JPQG,,
West,WC,Reno,NV,REN,8/13/17,8/17/17,9/5/16,,,REN4296042964HHRQ,,
West,WC,Reno,NV,REN,8/20/17,8/24/17,9/5/16,,,REN4296742971CNZL,,
West,WC,Reno,NV,REN,8/27/17,8/31/17,9/5/16,,,REN4297442978TQAY,,
West,WC,Reno,NV,REN,9/4/17,9/7/17,9/5/16,,*,REN4298242985BDEV,,
West,WC,Reno,NV,REN,12/3/17,12/6/17,9/5/16,,,REN4307243075TJOW,,
West,WC,Reno,NV,REN,12/17/17,12/21/17,9/5/16,,,REN4308643090XKIS,,
Northeast,NE,New York,NY,NYC,10/2/16,10/7/16,9/12/16,,,NYC4264542650LIXJ,,
Northeast,NE,New York,NY,NYC,10/9/16,10/14/16,9/12/16,,,NYC4265242657PUCO,,
Northeast,NE,New York,NY,NYC,10/16/16,10/21/16,9/12/16,,,NYC4265942664EINH,,
Northeast,NE,New York,NY,NYC,10/23/16,10/28/16,9/12/16,,,NYC4266642671PXCH,,
Northeast,NE,New York,NY,NYC,11/20/16,11/23/16,9/12/16,,,NYC4269442697MESE,,
Northeast,NE,New York,NY,NYC,11/27/16,11/30/16,9/12/16,,,NYC4270142704NXTP,,
Northeast,NE,New York,NY,NYC,12/18/16,12/22/16,9/12/16,,,NYC4272242726EPRU,,
Northeast,NE,New York,NY,NYC,12/26/16,12/29/16,9/12/16,,,NYC4273042733LBUC,,
Northeast,NE,New York,NY,NYC,1/1/17,1/6/17,9/12/16,,,NYC4273642741GIKE,,
Northeast,NE,New York,NY,NYC,1/8/17,1/13/17,9/12/16,,,NYC4274342748XXTS,,
Northeast,NE,New York,NY,NYC,1/15/17,1/20/17,9/12/16,,,NYC4275042755HNLM,,
Northeast,NE,New York,NY,NYC,1/22/17,1/27/17,9/12/16,,,NYC4275742762VASQ,,
Northeast,NE,New York,NY,NYC,1/29/17,2/3/17,9/12/16,,,NYC4276442769NJGC,,
Northeast,NE,New York,NY,NYC,2/5/17,2/10/17,9/12/16,,,NYC4277142776YVED,,
Northeast,NE,New York,NY,NYC,2/12/17,2/17/17,9/12/16,,,NYC4277842783YQMB,,
Northeast,NE,New York,NY,NYC,2/19/17,2/24/17,9/12/16,,,NYC4278542790TWJT,,
Northeast,NE,New York,NY,NYC,2/26/17,3/3/17,9/12/16,,,NYC4279242797OFKO,,
Northeast,NE,New York,NY,NYC,3/5/17,3/10/17,9/12/16,,,NYC4279942804HWHI,,
Northeast,NE,New York,NY,NYC,3/12/17,3/17/17,9/12/16,,,NYC4280642811PWDF,,
Northeast,NE,New York,NY,NYC,3/19/17,3/24/17,9/12/16,,,NYC4281342818XWOL,,
Northeast,NE,New York,NY,NYC,3/26/17,3/31/17,9/12/16,,,NYC4282042825BQHW,,
Northeast,NE,Pittsburgh,PA,PIT,9/25/16,9/30/16,9/12/16,,,PIT4263842643SZMU,,
Northeast,NE,Pittsburgh,PA,PIT,10/9/16,10/15/16,9/12/16,,,PIT4265242658XOUX,,
Northeast,NE,Pittsburgh,PA,PIT,10/30/16,11/3/16,9/12/16,,,PIT4267342677UDAP,,
Northeast,NE,Pittsburgh,PA,PIT,11/6/16,11/10/16,9/12/16,,,PIT4268042684HTIK,,
Northeast,NE,Pittsburgh,PA,PIT,11/21/16,11/23/16,9/12/16,,,PIT4269542697KXFU,,
Northeast,NE,Pittsburgh,PA,PIT,12/4/16,12/9/16,9/12/16,,,PIT4270842713OAKW,,
Northeast,NE,Pittsburgh,PA,PIT,12/11/16,12/16/16,9/12/16,,,PIT4271542720WMAN,,
Northeast,NE,Pittsburgh,PA,PIT,4/9/17,4/14/17,9/12/16,,,PIT4283442839ZUIK,,
Northeast,NE,Pittsburgh,PA,PIT,5/14/17,5/20/17,9/12/16,,,PIT4286942875IHUM,,
Northeast,NE,Pittsburgh,PA,PIT,5/29/17,6/4/17,9/12/16,,,PIT4288442890RLNX,,
Northeast,NE,Pittsburgh,PA,PIT,7/23/17,7/28/17,9/12/16,,,PIT4293942944BISE,,
Northeast,NE,Pittsburgh,PA,PIT,8/8/17,8/11/17,9/12/16,,,PIT4295542958MFGZ,,
Northeast,NE,Pittsburgh,PA,PIT,9/3/17,9/6/17,9/12/16,,,PIT4298142984BTIB,,
Northeast,NE,Pittsburgh,PA,PIT,10/29/17,11/3/17,9/12/16,,,PIT4303743042BYZK,,
Northeast,NE,Pittsburgh,PA,PIT,11/5/17,11/10/17,9/12/16,,,PIT4304443049HDPT,,
Northeast,NE,Pittsburgh,PA,PIT,11/12/17,11/17/17,9/12/16,,,PIT4305143056UTUC,,
Northeast,NE,Pittsburgh,PA,PIT,11/20/17,11/22/17,9/12/16,,,PIT4305943061JYPI,,
Northeast,NE,Pittsburgh,PA,PIT,11/26/17,12/1/17,9/12/16,,,PIT4306543070EECO,,
Northeast,NE,Pittsburgh,PA,PIT,12/12/17,12/15/17,9/12/16,,,PIT4308143084IQUL,,
Northeast,NE,Pittsburgh,PA,PIT,12/17/17,12/19/17,9/12/16,,,PIT4308643088ADPU,,
Southeast,SE,Orlando,FL,ORL,10/16/16,10/21/16,9/12/16,,,ORL4265942664DNFN,,
Southeast,SE,Orlando,FL,ORL,10/23/16,10/28/16,9/12/16,,,ORL4266642671RMPO,,
Southeast,SE,Orlando,FL,ORL,10/30/16,11/4/16,9/12/16,,,ORL4267342678ZYNJ,,
Southeast,SE,Orlando,FL,ORL,11/6/16,11/11/16,9/12/16,,,ORL4268042685BFOF,,
Southeast,SE,Orlando,FL,ORL,11/16/16,11/18/16,9/12/16,,,ORL4269042692JQXK,,
Southeast,SE,Orlando,FL,ORL,11/20/16,11/23/16,9/12/16,,,ORL4269442697LQJZ,,
Southeast,SE,Orlando,FL,ORL,11/27/16,12/2/16,9/12/16,,,ORL4270142706RQEY,,
Southeast,SE,Orlando,FL,ORL,12/4/16,12/9/16,9/12/16,,,ORL4270842713OMHN,,
Southeast,SE,Orlando,FL,ORL,12/11/16,12/16/16,9/12/16,,,ORL4271542720EARR,,
Southeast,SE,Orlando,FL,ORL,12/18/16,12/21/16,9/12/16,,,ORL4272242725TMWN,,
Southeast,SE,Orlando,FL,ORL,1/1/17,1/6/17,9/12/16,,,ORL4273642741NKSF,,