id,item,responsible,completed,due date,optional,chained,hidden,prize
HNETTU,Get Ring,dan,complete,done!,,,,
THVHMI,Get Engaged,Dan + Whit,complete,done!,,,,
ZEKFPA,Set a Date,Dan + Whit,complete,done!,,,,
JYCXZM,Select Location,Dan + Whit,complete,done!,,,,
HMZVZT,Budget,Dan,complete,done!,,,,
LLXAWA,Venue for Ceremony,Dan,complete,done!,,,,
BDUFFW,Venue for Reception,Whit,complete,done!,,,,
PXCTOF,Select Wedding Party,Dan + Whit,complete,done!,,,,
PXPGNJ,Tell Wedding Party,Dan + Whit,complete,21-Oct-16,,PXCTOF,,
HKNDVT,Guest List,Dan + Whit,complete,done!,,,,
EIFTHU,Catering,Whit,complete,done!,,,,
WCHXBN,Work out Regimen/Diet,Dan,complete,done!,optional,,,
LTGKLM,Select Wedding Dress,Whitney,complete,done!,,,,
BEMONK,Bridesmaid outfits,Whit,complete,done!,,LTGKLM,,
GMZGQN,To Do Site,Dan,complete,done!,optional,,,
FNDNHE,Honeymoon Location,Dan,complete,done!,,,,
HIYFWN,Honeymoon Flights,Kurt + Debby,complete,done!,,FNDNHE,,
XRGFMA,Honeymoon Hotels,Dan,complete,done!,,HIYFWN,,
CJXEJX,Photographer,Dan + Whit,complete,done!,,,,
ENPBPS,Engagement Photos,Whit,complete,done!,optional,,,
JRDKXL,Night-of Hotel,Dan + Whit,complete,done!,optional,,,
HFVXDC,Rehearsal Dinner Location,"Dan, Kurt, Debby",complete,done!,,HKNDVT,,
FYTILN,Day of Planner,Whit,complete,done!,,,,
XMWLPD,Premarital Counseling,Bo,started,start Sept 28,,,,
IAQJNK,Get addresses,Dan + Whit,complete,done!,,HKNDVT,,
BPIOZO,Order Invitations,Dan + Whit,complete,done!,,IAQJNK,,
ZIQQLQ,Save the Dates,Dan + Whit,,30-Oct-16,optional,HKNDVT,,
MPHVHF,Wedding Website,Dan,,30-Oct-16,optional,HKNDVT,,
XDLVZH,Send Invitations,Dan + Whit,,,,,,
YTYIFW,Registry,Dan + Whit,,30-Oct-16,,,,
AUFVFB,Acquire Contraception,Whit,,2-Nov-16,,,,
DLCDCH,Select Groom Outfit,Dan,,10-Nov-17,,LTGKLM,,
ZHEAIT,Groomsman outfits,Dan,,10-Nov-17,,DLCDCH,,
HKWUYG,California Flights,"Dan + Whit, Kurt and Debby?",complete,done,,,,
HQDVGH,Rehearsal Dinner Guest List,Dan + Whit,,1-Dec-16,,HFVXDC,,
HMPHJB,Rehearsal Dinner Invites,Dan + Whit,,1-Dec-16,,,,
SWSOHO,Pin Down Hotel Blocks,Whit + Elizabeth,started,15-Nov-16,,,,
CMGGJB,Housing options for Guests,"Whit, Dan, fams",,31-Oct-16,,SWSOHO,,
CPMALO,Bridal Shower/Wedding Shower,??,,none yet,optional,,,
NKBNZL,Plan Ceremony,"Bo, Whit, Dan",,1-Jan-17,,XMWLPD,,
AUXLNV,Videographer,Dan + Whit,,1-Dec-16,optional,,,
WWNHGX,Flowers,CHBC friend?,,1-Dec-16,optional,,,
UVWDBZ,Ask Flower Girls and Ring Bearer,Dan + Whit,started,10-Nov-17,,,,
HMZVZT,Ask Ushers,Dan + Whit,,,,,,
XDLVZH,Ask Chris to MC,Dan,,,,,,
KLXQCN,Figure out A/V at L'Hommage,Dan,,,,XDLVZH,,
PZPEKF,Decorations,Whit + Celeste,,1-Jan-17,,BDUFFW,,
IHUHDG,Wedding Bands,Dan + Whit,,1-Jan-17,,,,
UVWDBZ,Groomsman Gifts,Dan,,13-Jan-17,,,,
HMZVZT,Bridesmaids Gifts,Whit,,13-Jan-17,,,,
XDLVZH,Other gifts,Dan + Whit,,13-Jan-17,,,,
YMMYTB,Bachelor Party,Groomsmen,,none yet,optional,PXPGNJ,,
OKCALT,Bachelorette Party,Bridesmaids,,none yet,optional,PXPGNJ,,
KCPCCM,Write Vows,Dan + Whit,,14-Jan-17,,NKBNZL,,
TGXCHR,Plan Music,Dan + Whit,,14-Jan-17,,BDUFFW,,
WKHKNI,Get Hitched,Everyone,,14-Jan-17,,XMWLPD,,
OYBTCZ,Party Down,Everyone,,14-Jan-17,,TGXCHR,,
PJPEIS,Have Sex,Dan + Whit,,14-Jan-17,,WKHKNI,,
VJPJCK,Have Sex Again,Dan + Whit,,15-Jan-17,,PJPEIS,,
VBAFIG,Have Sex Again AGAIN,Dan + Whit,,16-Jan-17,,VJPJCK,,
UEFTJJ,Move out of 1233 G Street,Dan + Whit,,31-Jan-17,,,,
UVWDBZ,Thank you Notes!,Dan + Whit,,14-Feb-17,,WKHKNI,,
USGUAZ,Texas Flights,"Dan, Whit, Paul?",,1-Dec-17,,HKWUYG,,
WZJLYM,Post Wedding Celebration in Texas,Whit + friends,,Mar-17,,WKHKNI,,